"year_published","latest","possibly_extinct","possibly_extinct_in_the_wild","sis_taxon_id","url","taxon_scientific_name","red_list_category_code","assessment_id","kingdom","phylum","class","order","family","genus","species","scope_description","endemic"
"2006",FALSE,FALSE,FALSE,840,"https://www.iucnredlist.org/species/840/13083101","Algyroides hidalgoi","EN",13083101,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","hidalgoi","Europe","yes"
"1996",FALSE,FALSE,FALSE,840,"https://www.iucnredlist.org/species/840/13082954","Algyroides hidalgoi","VU",13082954,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","hidalgoi","Europe","yes"
"1996",FALSE,FALSE,FALSE,840,"https://www.iucnredlist.org/species/840/13082954","Algyroides hidalgoi","VU",13082954,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","hidalgoi","Europe","yes"
"2024",TRUE,FALSE,FALSE,61465,"https://www.iucnredlist.org/species/61465/137846475","Algyroides moreoticus","LC",137846475,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","moreoticus","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,61465,"https://www.iucnredlist.org/species/61465/137846475","Algyroides moreoticus","LC",137846475,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","moreoticus","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,61465,"https://www.iucnredlist.org/species/61465/137846475","Algyroides moreoticus","LC",137846475,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","moreoticus","Mediterranean","yes"
"2009",FALSE,FALSE,FALSE,61465,"https://www.iucnredlist.org/species/61465/12489765","Algyroides moreoticus","NT",12489765,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","moreoticus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61465,"https://www.iucnredlist.org/species/61465/12489765","Algyroides moreoticus","NT",12489765,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","moreoticus","Europe","yes"
"2006",FALSE,FALSE,FALSE,61465,"https://www.iucnredlist.org/species/61465/12489903","Algyroides moreoticus","NT",12489903,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","moreoticus","Europe","yes"
"2006",FALSE,FALSE,FALSE,61465,"https://www.iucnredlist.org/species/61465/12489903","Algyroides moreoticus","NT",12489903,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","moreoticus","Europe","yes"
"2024",TRUE,FALSE,FALSE,61466,"https://www.iucnredlist.org/species/61466/137846576","Algyroides nigropunctatus","LC",137846576,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","nigropunctatus","Europe","yes"
"2024",TRUE,FALSE,FALSE,61466,"https://www.iucnredlist.org/species/61466/137846576","Algyroides nigropunctatus","LC",137846576,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","nigropunctatus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61466,"https://www.iucnredlist.org/species/61466/12490013","Algyroides nigropunctatus","LC",12490013,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","nigropunctatus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61466,"https://www.iucnredlist.org/species/61466/12490013","Algyroides nigropunctatus","LC",12490013,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","nigropunctatus","Europe","yes"
"2006",FALSE,FALSE,FALSE,61466,"https://www.iucnredlist.org/species/61466/12490202","Algyroides nigropunctatus","LC",12490202,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","nigropunctatus","Europe","yes"
"2006",FALSE,FALSE,FALSE,61466,"https://www.iucnredlist.org/species/61466/12490202","Algyroides nigropunctatus","LC",12490202,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Algyroides","nigropunctatus","Europe","yes"
"2024",TRUE,FALSE,FALSE,157257,"https://www.iucnredlist.org/species/157257/213192842","Alsophylax pipiens","NA",213192842,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","GEKKONIDAE","Alsophylax","pipiens","Europe","no"
"2009",FALSE,FALSE,FALSE,157257,"https://www.iucnredlist.org/species/157257/5062597","Alsophylax pipiens","NA",5062597,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","GEKKONIDAE","Alsophylax","pipiens","Europe","no"
"2024",TRUE,FALSE,FALSE,210079094,"https://www.iucnredlist.org/species/210079094/200125217","Anatololacerta anatolica","NT",200125217,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Anatololacerta","anatolica","Europe","no"
"2024",TRUE,FALSE,FALSE,200124506,"https://www.iucnredlist.org/species/200124506/207996298","Anatololacerta finikensis","NA",207996298,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Anatololacerta","finikensis","Europe","no"
"2024",TRUE,FALSE,FALSE,200054655,"https://www.iucnredlist.org/species/200054655/214954488","Anatololacerta pelasgiana","LC",214954488,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Anatololacerta","pelasgiana","Europe","no"
"2024",TRUE,FALSE,FALSE,47113126,"https://www.iucnredlist.org/species/47113126/204902180","Anguis fragilis","LC",204902180,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis","fragilis","Europe","yes"
"2024",TRUE,FALSE,FALSE,47113126,"https://www.iucnredlist.org/species/47113126/204902180","Anguis fragilis","LC",204902180,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis","fragilis","Europe","yes"
"2021",FALSE,FALSE,FALSE,47113126,"https://www.iucnredlist.org/species/47113126/216974823","Anguis fragilis","LC",216974823,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis","fragilis","Europe","yes"
"2021",FALSE,FALSE,FALSE,47113126,"https://www.iucnredlist.org/species/47113126/216974823","Anguis fragilis","LC",216974823,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis","fragilis","Europe","yes"
"2024",TRUE,FALSE,FALSE,47113100,"https://www.iucnredlist.org/species/47113100/47113103","Anguis graeca","LC",47113103,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis","graeca","Europe","yes"
"2024",TRUE,FALSE,FALSE,47113100,"https://www.iucnredlist.org/species/47113100/47113103","Anguis graeca","LC",47113103,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis","graeca","Europe","yes"
"2024",TRUE,FALSE,FALSE,200055370,"https://www.iucnredlist.org/species/200055370/204091964","Anguis veronensis","LC",204091964,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis","veronensis","Europe","yes"
"2024",TRUE,FALSE,FALSE,200055370,"https://www.iucnredlist.org/species/200055370/204091964","Anguis veronensis","LC",204091964,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis","veronensis","Europe","yes"
"2024",TRUE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/137846721","Anguis cephallonica","LC",137846721,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/137846721","Anguis cephallonica","LC",137846721,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/137846721","Anguis cephallonica","LC",137846721,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Mediterranean","yes"
"2009",FALSE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/12490356","Anguis cephallonica","NT",12490356,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Europe","yes"
"2017",FALSE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/118230809","Anguis cephallonica","NT",118230809,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Europe","yes"
"2009",FALSE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/12490356","Anguis cephallonica","NT",12490356,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Europe","yes"
"2017",FALSE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/118230809","Anguis cephallonica","NT",118230809,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Europe","yes"
"2006",FALSE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/12490512","Anguis cephallonica","NT",12490512,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Europe","yes"
"2006",FALSE,FALSE,FALSE,61467,"https://www.iucnredlist.org/species/61467/12490512","Anguis cephallonica","NT",12490512,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","ANGUIDAE","Anguis ","cephallonica","Europe","yes"
"2024",TRUE,FALSE,FALSE,61468,"https://www.iucnredlist.org/species/61468/137846813","Archaeolacerta bedriagae","NT",137846813,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Archaeolacerta","bedriagae","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,61468,"https://www.iucnredlist.org/species/61468/137846813","Archaeolacerta bedriagae","NT",137846813,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Archaeolacerta","bedriagae","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,61468,"https://www.iucnredlist.org/species/61468/137846813","Archaeolacerta bedriagae","NT",137846813,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Archaeolacerta","bedriagae","Mediterranean","yes"
"2009",FALSE,FALSE,FALSE,61468,"https://www.iucnredlist.org/species/61468/12490617","Archaeolacerta bedriagae","NT",12490617,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Archaeolacerta","bedriagae","Europe","yes"
"2009",FALSE,FALSE,FALSE,61468,"https://www.iucnredlist.org/species/61468/12490617","Archaeolacerta bedriagae","NT",12490617,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Archaeolacerta","bedriagae","Europe","yes"
"2006",FALSE,FALSE,FALSE,61468,"https://www.iucnredlist.org/species/61468/12490758","Archaeolacerta bedriagae","VU",12490758,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Archaeolacerta","bedriagae","Europe","yes"
"2006",FALSE,FALSE,FALSE,61468,"https://www.iucnredlist.org/species/61468/12490758","Archaeolacerta bedriagae","VU",12490758,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Archaeolacerta","bedriagae","Europe","yes"
"2024",TRUE,FALSE,FALSE,204702171,"https://www.iucnredlist.org/species/204702171/137846946","Blanus cinereus","LC",137846946,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","BLANIDAE","Blanus","cinereus","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,204702171,"https://www.iucnredlist.org/species/204702171/137846946","Blanus cinereus","LC",137846946,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","BLANIDAE","Blanus","cinereus","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,204702171,"https://www.iucnredlist.org/species/204702171/137846946","Blanus cinereus","LC",137846946,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","BLANIDAE","Blanus","cinereus","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,200115910,"https://www.iucnredlist.org/species/200115910/266891444","Blanus strauchi","LC",266891444,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","BLANIDAE","Blanus","strauchi","Europe","no"
"2009",FALSE,FALSE,FALSE,200115910,"https://www.iucnredlist.org/species/200115910/266891311","Blanus strauchi","NA",266891311,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","BLANIDAE","Blanus","strauchi","Europe","no"
"2024",TRUE,FALSE,FALSE,61472,"https://www.iucnredlist.org/species/61472/137847259","Chalcides bedriagai","LC",137847259,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","bedriagai","Europe","yes"
"2024",TRUE,FALSE,FALSE,61472,"https://www.iucnredlist.org/species/61472/137847259","Chalcides bedriagai","LC",137847259,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","bedriagai","Europe","yes"
"2009",FALSE,FALSE,FALSE,61472,"https://www.iucnredlist.org/species/61472/12472701","Chalcides bedriagai","NT",12472701,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","bedriagai","Europe","yes"
"2009",FALSE,FALSE,FALSE,61472,"https://www.iucnredlist.org/species/61472/12472701","Chalcides bedriagai","NT",12472701,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","bedriagai","Europe","yes"
"2006",FALSE,FALSE,FALSE,61472,"https://www.iucnredlist.org/species/61472/12472888","Chalcides bedriagai","NT",12472888,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","bedriagai","Europe","yes"
"2006",FALSE,FALSE,FALSE,61472,"https://www.iucnredlist.org/species/61472/12472888","Chalcides bedriagai","NT",12472888,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","bedriagai","Europe","yes"
"2024",TRUE,FALSE,FALSE,61473,"https://www.iucnredlist.org/species/61473/207990233","Chalcides chalcides","LC",207990233,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","chalcides","Europe","no"
"2009",FALSE,FALSE,FALSE,61473,"https://www.iucnredlist.org/species/61473/12473534","Chalcides chalcides","LC",12473534,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","chalcides","Europe","no"
"2024",TRUE,FALSE,FALSE,157283,"https://www.iucnredlist.org/species/157283/207662295","Chalcides ocellatus","LC",207662295,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","ocellatus","Europe","no"
"2009",FALSE,FALSE,FALSE,157283,"https://www.iucnredlist.org/species/157283/5069634","Chalcides ocellatus","LC",5069634,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","ocellatus","Europe","no"
"2024",TRUE,FALSE,FALSE,61484,"https://www.iucnredlist.org/species/61484/216963527","Chalcides parallelus","NA",216963527,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","parallelus","Europe","no"
"2009",FALSE,FALSE,FALSE,61484,"https://www.iucnredlist.org/species/61484/12478157","Chalcides parallelus","NA",12478157,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","parallelus","Europe","no"
"2024",TRUE,FALSE,FALSE,61487,"https://www.iucnredlist.org/species/61487/137848983","Chalcides sexlineatus","EN",137848983,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","sexlineatus","Europe","yes"
"2024",TRUE,FALSE,FALSE,61487,"https://www.iucnredlist.org/species/61487/137848983","Chalcides sexlineatus","EN",137848983,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","sexlineatus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61487,"https://www.iucnredlist.org/species/61487/12479057","Chalcides sexlineatus","LC",12479057,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","sexlineatus","Europe","yes"
"2009",FALSE,FALSE,FALSE,61487,"https://www.iucnredlist.org/species/61487/12479057","Chalcides sexlineatus","LC",12479057,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","sexlineatus","Europe","yes"
"2006",FALSE,FALSE,FALSE,61487,"https://www.iucnredlist.org/species/61487/12479182","Chalcides sexlineatus","LC",12479182,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Chalcides","sexlineatus","Europe","yes"
